state,updatedon,totaltested,positive
Chhattisgarh,11/07/2020,204932,3897
Chhattisgarh,12/07/2020,209864,4081
Chhattisgarh,13/07/2020,213395,4265
Chhattisgarh,14/07/2020,217433,4379
Chhattisgarh,15/07/2020,222113,4556
Chhattisgarh,16/07/2020,225913,4754
Chhattisgarh,17/07/2020,232873,4976
Chhattisgarh,18/07/2020,238890,5246
Chhattisgarh,19/07/2020,244937,5407
Chhattisgarh,20/07/2020,250016,5598
Chhattisgarh,21/07/2020,254185,5731
Chhattisgarh,22/07/2020,260227,5968
Chhattisgarh,23/07/2020,268285,6254
Chhattisgarh,24/07/2020,274660,6731
Chhattisgarh,25/07/2020,280964,7087
Chhattisgarh,26/07/2020,286291,7489
Dadra and Nagar Haveli and Daman and Diu,09/04/2020,80,0
Dadra and Nagar Haveli and Daman and Diu,10/04/2020,130,0
Dadra and Nagar Haveli and Daman and Diu,11/04/2020,211,0
Dadra and Nagar Haveli and Daman and Diu,15/04/2020,356,0
Dadra and Nagar Haveli and Daman and Diu,16/04/2020,382,0
Dadra and Nagar Haveli and Daman and Diu,21/04/2020,474,0
Dadra and Nagar Haveli and Daman and Diu,22/04/2020,674,0
Dadra and Nagar Haveli and Daman and Diu,23/04/2020,913,0
Dadra and Nagar Haveli and Daman and Diu,25/04/2020,1386,0
Dadra and Nagar Haveli and Daman and Diu,26/04/2020,1901,0
Dadra and Nagar Haveli and Daman and Diu,27/04/2020,2379,0
Dadra and Nagar Haveli and Daman and Diu,29/04/2020,2921,0
Dadra and Nagar Haveli and Daman and Diu,30/04/2020,3464,0
Dadra and Nagar Haveli and Daman and Diu,01/05/2020,4003,0
Dadra and Nagar Haveli and Daman and Diu,03/05/2020,4328,0
Dadra and Nagar Haveli and Daman and Diu,04/05/2020,4434,0
Dadra and Nagar Haveli and Daman and Diu,05/05/2020,4781,1
Dadra and Nagar Haveli and Daman and Diu,06/05/2020,4967,1
Dadra and Nagar Haveli and Daman and Diu,07/05/2020,5272,1
Dadra and Nagar Haveli and Daman and Diu,08/05/2020,5430,1
Dadra and Nagar Haveli and Daman and Diu,10/05/2020,5581,1
Dadra and Nagar Haveli and Daman and Diu,11/05/2020,5763,1
Dadra and Nagar Haveli and Daman and Diu,12/05/2020,5977,1
Dadra and Nagar Haveli and Daman and Diu,13/05/2020,6294,1
Dadra and Nagar Haveli and Daman and Diu,14/05/2020,6554,1
Dadra and Nagar Haveli and Daman and Diu,15/05/2020,6916,1
Dadra and Nagar Haveli and Daman and Diu,17/05/2020,7157,1
Dadra and Nagar Haveli and Daman and Diu,18/05/2020,7571,1
Dadra and Nagar Haveli and Daman and Diu,19/05/2020,7829,1
Dadra and Nagar Haveli and Daman and Diu,20/05/2020,8137,1
Dadra and Nagar Haveli and Daman and Diu,21/05/2020,8456,1
Dadra and Nagar Haveli and Daman and Diu,22/05/2020,8979,1
Dadra and Nagar Haveli and Daman and Diu,23/05/2020,9298,2
Dadra and Nagar Haveli and Daman and Diu,24/05/2020,9678,2
Dadra and Nagar Haveli and Daman and Diu,25/05/2020,10085,2
Dadra and Nagar Haveli and Daman and Diu,26/05/2020,10388,2
Dadra and Nagar Haveli and Daman and Diu,27/05/2020,10872,2
Dadra and Nagar Haveli and Daman and Diu,28/05/2020,11177,2
Dadra and Nagar Haveli and Daman and Diu,29/05/2020,11477,2
Dadra and Nagar Haveli and Daman and Diu,01/06/2020,11693,3
Dadra and Nagar Haveli and Daman and Diu,03/06/2020,12064,12
Dadra and Nagar Haveli and Daman and Diu,04/06/2020,12375,14
Dadra and Nagar Haveli and Daman and Diu,05/06/2020,13667,14
Dadra and Nagar Haveli and Daman and Diu,06/06/2020,14780,19
Dadra and Nagar Haveli and Daman and Diu,07/06/2020,15546,20
Dadra and Nagar Haveli and Daman and Diu,08/06/2020,16277,22
Dadra and Nagar Haveli and Daman and Diu,10/06/2020,17179,27
Dadra and Nagar Haveli and Daman and Diu,13/06/2020,17649,28
Dadra and Nagar Haveli and Daman and Diu,14/06/2020,18445,31
Dadra and Nagar Haveli and Daman and Diu,15/06/2020,23835,38
Dadra and Nagar Haveli and Daman and Diu,16/06/2020,24492,51
Dadra and Nagar Haveli and Daman and Diu,17/06/2020,25575,58
Dadra and Nagar Haveli and Daman and Diu,18/06/2020,26752,69
Dadra and Nagar Haveli and Daman and Diu,20/06/2020,27617,93
Dadra and Nagar Haveli and Daman and Diu,21/06/2020,27839,97
Dadra and Nagar Haveli and Daman and Diu,22/06/2020,28364,112
Dadra and Nagar Haveli and Daman and Diu,23/06/2020,29072,121
Dadra and Nagar Haveli and Daman and Diu,24/06/2020,29403,134
Dadra and Nagar Haveli and Daman and Diu,25/06/2020,30188,154
Dadra and Nagar Haveli and Daman and Diu,26/06/2020,30602,169
Dadra and Nagar Haveli and Daman and Diu,27/06/2020,31015,184
Dadra and Nagar Haveli and Daman and Diu,28/06/2020,31321,188
Dadra and Nagar Haveli and Daman and Diu,29/06/2020,31602,203
Dadra and Nagar Haveli and Daman and Diu,30/06/2020,32031,213
Dadra and Nagar Haveli and Daman and Diu,01/07/2020,32435,229
Dadra and Nagar Haveli and Daman and Diu,02/07/2020,32834,254
Dadra and Nagar Haveli and Daman and Diu,03/07/2020,33618,304
Dadra and Nagar Haveli and Daman and Diu,04/07/2020,33995,333
Dadra and Nagar Haveli and Daman and Diu,05/07/2020,34179,371
Dadra and Nagar Haveli and Daman and Diu,06/07/2020,34444,398
Dadra and Nagar Haveli and Daman and Diu,07/07/2020,34761,423
Dadra and Nagar Haveli and Daman and Diu,08/07/2020,35234,440
Dadra and Nagar Haveli and Daman and Diu,09/07/2020,35391,454
Dadra and Nagar Haveli and Daman and Diu,10/07/2020,35829,468
Dadra and Nagar Haveli and Daman and Diu,11/07/2020,36166,480
Dadra and Nagar Haveli and Daman and Diu,12/07/2020,36310,495
Dadra and Nagar Haveli and Daman and Diu,13/07/2020,36621,520
Dadra and Nagar Haveli and Daman and Diu,14/07/2020,36905,536
Dadra and Nagar Haveli and Daman and Diu,15/07/2020,37392,552
Dadra and Nagar Haveli and Daman and Diu,16/07/2020,37880,570
Dadra and Nagar Haveli and Daman and Diu,17/07/2020,38176,601
Dadra and Nagar Haveli and Daman and Diu,18/07/2020,38313,646
Dadra and Nagar Haveli and Daman and Diu,19/07/2020,38640,684
Dadra and Nagar Haveli and Daman and Diu,20/07/2020,38880,705
Dadra and Nagar Haveli and Daman and Diu,21/07/2020,39199,733
Dadra and Nagar Haveli and Daman and Diu,23/07/2020,,
Dadra and Nagar Haveli and Daman and Diu,25/07/2020,,
Delhi,01/04/2020,2621,
Delhi,07/04/2020,9041,576
Delhi,09/04/2020,9968,720
Delhi,10/04/2020,11061,903
Delhi,11/04/2020,11709,1069
Delhi,12/04/2020,14036,1154
Delhi,13/04/2020,15032,1510
Delhi,14/04/2020,16282,1561
Delhi,15/04/2020,16605,1578
Delhi,16/04/2020,18784,1640
Delhi,17/04/2020,21409,1707
Delhi,18/04/2020,22283,1893
Delhi,19/04/2020,24387,2003
Delhi,20/04/2020,25900,2081
Delhi,21/04/2020,26627,2156
Delhi,22/04/2020,28309,2248
Delhi,23/04/2020,30560,2375
Delhi,24/04/2020,33672,2514
Delhi,25/04/2020,35519,2625
Delhi,26/04/2020,37613,2918
Delhi,27/04/2020,39911,3108
Delhi,28/04/2020,43370,3314
Delhi,29/04/2020,47225,3439
Delhi,01/05/2020,,
Delhi,02/05/2020,58210,4122
Delhi,03/05/2020,60246,4549
Delhi,04/05/2020,64108,4898
Delhi,05/05/2020,67852,5104
Delhi,06/05/2020,71934,5532
Delhi,07/05/2020,77234,5980
Delhi,08/05/2020,81367,6318
Delhi,09/05/2020,84226,6542
Delhi,10/05/2020,93810,6923
Delhi,11/05/2020,97678,7233
Delhi,12/05/2020,106109,7639
Delhi,13/05/2020,113345,7998
Delhi,14/05/2020,119736,8470
Delhi,15/05/2020,125189,8895
Delhi,16/05/2020,130845,9333
Delhi,17/05/2020,135791,9755
Delhi,18/05/2020,139727,10054
Delhi,19/05/2020,145854,10554
Delhi,20/05/2020,150282,11088
Delhi,21/05/2020,154385,11659
Delhi,22/05/2020,160255,12319
Delhi,23/05/2020,165047,12910
Delhi,24/05/2020,169873,13418
Delhi,25/05/2020,174469,14053
Delhi,26/05/2020,178579,14465
Delhi,27/05/2020,184362,15257
Delhi,28/05/2020,191977,16281
Delhi,29/05/2020,199626,17386
Delhi,30/05/2020,206739,18549
Delhi,31/05/2020,212784,19844
Delhi,01/06/2020,217537,20834
Delhi,02/06/2020,223607,22132
Delhi,03/06/2020,230145,23645
Delhi,04/06/2020,236506,25004
Delhi,05/06/2020,241693,26334
Delhi,06/06/2020,246873,27654
Delhi,07/06/2020,251915,28936
Delhi,08/06/2020,255615,29943
Delhi,09/06/2020,261079,31309
Delhi,10/06/2020,266156,32810
Delhi,11/06/2020,271516,34687
Delhi,12/06/2020,277463,36824
Delhi,13/06/2020,283239,38958
Delhi,14/06/2020,290592,41182
Delhi,15/06/2020,296697,42829
Delhi,16/06/2020,304483,44688
Delhi,17/06/2020,312576,47102
Delhi,18/06/2020,321302,49979
Delhi,19/06/2020,334376,53116
Delhi,20/06/2020,351909,56746
Delhi,21/06/2020,370014,59746
Delhi,22/06/2020,384696,62655
Delhi,23/06/2020,401648,66602
Delhi,24/06/2020,420707,70390
Delhi,25/06/2020,438012,73780
Delhi,26/06/2020,459156,77240
Delhi,27/06/2020,478336,80188
Delhi,28/06/2020,498416,83077
Delhi,29/06/2020,514573,85161
Delhi,30/06/2020,531752,87360
Delhi,01/07/2020,551708,89802
Delhi,02/07/2020,572530,92175
Delhi,03/07/2020,596695,94695
Delhi,04/07/2020,620368,97200
Delhi,05/07/2020,643504,99444
Delhi,06/07/2020,657383,100823
Delhi,07/07/2020,679831,102831
Delhi,08/07/2020,701859,104864
Delhi,09/07/2020,724148,107051
Delhi,10/07/2020,747109,109140
Delhi,11/07/2020,768617,110921
Delhi,12/07/2020,789853,112494
Delhi,13/07/2020,692845,113740
Delhi,14/07/2020,713908,115346
Delhi,15/07/2020,736436,116993
Delhi,16/07/2020,756661,118645
Delhi,17/07/2020,777125,120107
Delhi,18/07/2020,798783,121582
Delhi,19/07/2020,818989,122793
Delhi,20/07/2020,830459,123747
Delhi,21/07/2020,851311,125096
Delhi,22/07/2020,871371,126323
Delhi,23/07/2020,889597,127364
Delhi,24/07/2020,908735,128389
Delhi,25/07/2020,929244,129531
Delhi,26/07/2020,946777,130606
Goa,02/04/2020,220,5
Goa,09/04/2020,344,7
Goa,10/04/2020,354,7
Goa,12/04/2020,406,7
Goa,13/04/2020,440,7
Goa,14/04/2020,479,7
Goa,15/04/2020,556,7
Goa,16/04/2020,611,7
Goa,17/04/2020,673,7
Goa,18/04/2020,758,7
Goa,19/04/2020,826,7
Goa,20/04/2020,901,7
Goa,21/04/2020,1004,7
Goa,22/04/2020,1116,7
Goa,23/04/2020,1206,7
Goa,27/04/2020,1541,7
Goa,28/04/2020,1776,7
Goa,29/04/2020,1871,7
Goa,30/04/2020,2031,7
Goa,01/05/2020,2181,7
Goa,02/05/2020,2372,7
Goa,03/05/2020,2548,7
Goa,04/05/2020,2899,7
Goa,05/05/2020,3096,7
Goa,06/05/2020,3411,7
Goa,08/05/2020,4140,7
Goa,09/05/2020,4524,7
Goa,10/05/2020,4848,7
Goa,11/05/2020,5307,7
Goa,14/05/2020,6736,7
Goa,15/05/2020,7304,7
Goa,16/05/2020,8011,20
Goa,17/05/2020,8785,29
Goa,18/05/2020,8785,29
Goa,19/05/2020,9549,46
Goa,20/05/2020,10136,50
Goa,21/05/2020,10859,52
Goa,22/05/2020,11362,54
Goa,23/05/2020,11945,55
Goa,24/05/2020,12499,66
Goa,25/05/2020,12860,67
Goa,26/05/2020,13303,67
Goa,27/05/2020,13911,68
Goa,28/05/2020,14782,69
Goa,29/05/2020,16141,69
Goa,30/05/2020,17871,70
Goa,31/05/2020,19491,71
Goa,01/06/2020,20780,73
Goa,02/06/2020,22378,79
Goa,03/06/2020,23816,126
Goa,04/06/2020,25300,166
Goa,05/06/2020,26208,196
Goa,06/06/2020,27402,267
Goa,07/06/2020,29739,300
Goa,08/06/2020,31455,330
Goa,09/06/2020,32194,359
Goa,10/06/2020,35332,387
Goa,11/06/2020,37858,417
Goa,12/06/2020,39298,463
Goa,13/06/2020,40723,523
Goa,14/06/2020,41835,564
Goa,15/06/2020,42703,592
Goa,16/06/2020,44378,629
Goa,17/06/2020,45685,656
Goa,18/06/2020,46996,705
Goa,19/06/2020,49718,725
Goa,20/06/2020,51404,754
Goa,21/06/2020,52301,818
Goa,22/06/2020,53050,864
Goa,23/06/2020,54781,909
Goa,24/06/2020,56925,951
Goa,25/06/2020,58584,995
Goa,26/06/2020,60350,1039
Goa,27/06/2020,61687,1128
Goa,28/06/2020,62945,1198
Goa,29/06/2020,64375,1251
Goa,30/06/2020,66491,1315
Goa,01/07/2020,67822,1387
Goa,02/07/2020,70738,1482
Goa,03/07/2020,72691,1576
Goa,04/07/2020,74314,1684
Goa,05/07/2020,75791,1761
Goa,06/07/2020,77033,1813
Goa,07/07/2020,79864,1903
Goa,08/07/2020,82555,2039
Goa,09/07/2020,84945,2151
Goa,10/07/2020,87865,2251
Goa,11/07/2020,90817,2368
Goa,12/07/2020,92191,2453
Goa,13/07/2020,93968,2583
Goa,14/07/2020,96692,2753
Goa,15/07/2020,99234,2951
Goa,16/07/2020,101554,3108
Goa,17/07/2020,103527,3304
Goa,18/07/2020,105731,3484
Goa,19/07/2020,107266,3657
Goa,20/07/2020,108459,3853
Goa,21/07/2020,111296,4027
Goa,22/07/2020,114309,4176
Goa,23/07/2020,117321,4350
Goa,24/07/2020,119455,4540
Goa,25/07/2020,121771,4686
Goa,26/07/2020,123130,4861
Gujarat,08/04/2020,4224,186
Gujarat,10/04/2020,7718,378
Gujarat,11/04/2020,9763,468
Gujarat,12/04/2020,11715,516
Gujarat,13/04/2020,14251,572
Gujarat,14/04/2020,14980,617
Gujarat,15/04/2020,19197,766
Gujarat,16/04/2020,20903,929
Gujarat,17/04/2020,23483,1099
Gujarat,18/04/2020,26102,1376
Gujarat,19/04/2020,29104,1743
Gujarat,20/04/2020,33316,1939
Gujarat,21/04/2020,36829,2178
Gujarat,22/04/2020,39421,2407
Gujarat,23/04/2020,42384,2624
Gujarat,24/04/2020,46743,2815
Gujarat,25/04/2020,48315,3061
Gujarat,26/04/2020,51091,3301
Gujarat,27/04/2020,53575,3547
Gujarat,28/04/2020,56101,3774
Gujarat,29/04/2020,59488,4082
Gujarat,30/04/2020,64007,4395
Gujarat,01/05/2020,68774,4721
Gujarat,02/05/2020,74116,5054
Gujarat,03/05/2020,80060,5428
Gujarat,04/05/2020,84648,5804
Gujarat,05/05/2020,89632,6245
Gujarat,06/05/2020,95191,6625
Gujarat,07/05/2020,100553,7013
Gujarat,08/05/2020,105386,7403
Gujarat,09/05/2020,109650,7797
Gujarat,10/05/2020,113493,8195
Gujarat,11/05/2020,116470,8541
Gujarat,12/05/2020,119536,8903
Gujarat,13/05/2020,122297,9268
Gujarat,14/05/2020,124708,9591
Gujarat,15/05/2020,127859,9932
Gujarat,16/05/2020,138407,10989
Gujarat,17/05/2020,143600,11380
Gujarat,18/05/2020,148824,11746
Gujarat,19/05/2020,154674,12141
Gujarat,20/05/2020,160772,12539
Gujarat,21/05/2020,166152,12910
Gujarat,22/05/2020,172562,13273
Gujarat,23/05/2020,178068,13669
Gujarat,24/05/2020,182868,14056
Gujarat,25/05/2020,186361,14468
Gujarat,26/05/2020,189313,14821
Gujarat,27/05/2020,193863,15203
Gujarat,28/05/2020,198048,15572
Gujarat,29/05/2020,201481,15944
Gujarat,30/05/2020,205780,16356
Gujarat,31/05/2020,211930,16794
Gujarat,01/06/2020,216258,17217
Gujarat,02/06/2020,221610,17632
Gujarat,03/06/2020,227898,18117
Gujarat,04/06/2020,233921,18609
Gujarat,05/06/2020,239911,19119
Gujarat,06/06/2020,245606,19617
Gujarat,07/06/2020,251686,20097
Gujarat,08/06/2020,256289,20574
Gujarat,09/06/2020,261587,21044
Gujarat,10/06/2020,266404,21554
Gujarat,11/06/2020,272924,22067
Gujarat,12/06/2020,278137,22562
Gujarat,13/06/2020,283623,23079
Gujarat,14/06/2020,288565,23590
Gujarat,15/06/2020,292909,24104
Gujarat,16/06/2020,296335,24628
Gujarat,17/06/2020,303671,25148
Gujarat,18/06/2020,308744,25658
Gujarat,19/06/2020,314301,26198
Gujarat,20/06/2020,319414,26737
Gujarat,21/06/2020,324874,27317
Gujarat,22/06/2020,329343,27880
Gujarat,23/06/2020,334326,28429
Gujarat,24/06/2020,340080,29001
Gujarat,25/06/2020,345278,29578
Gujarat,26/06/2020,351179,30158
Gujarat,27/06/2020,357148,30773
Gujarat,28/06/2020,363306,31397
Gujarat,29/06/2020,367739,32023
Gujarat,30/06/2020,373613,32643
Gujarat,01/07/2020,380640,33318
Gujarat,02/07/2020,388065,33999
Gujarat,03/07/2020,395873,34686
Gujarat,04/07/2020,404354,35398
Gujarat,05/07/2020,412124,36123
Gujarat,06/07/2020,418464,36858
Gujarat,07/07/2020,425830,37636
Gujarat,08/07/2020,433864,38419
Gujarat,09/07/2020,441692,39280
Gujarat,10/07/2020,449349,40155
Gujarat,11/07/2020,457066,41027
Gujarat,12/07/2020,464646,41897
Gujarat,13/07/2020,470265,42808
Gujarat,14/07/2020,478367,43723
Gujarat,15/07/2020,487707,44648
Gujarat,16/07/2020,499170,45567
Gujarat,17/07/2020,512000,46516
Gujarat,18/07/2020,524297,47476
Gujarat,19/07/2020,536122,48441
Gujarat,20/07/2020,548989,49439
Gujarat,21/07/2020,562682,50465
Gujarat,22/07/2020,576706,51485
Gujarat,23/07/2020,591561,52563
Gujarat,24/07/2020,606718,53631
Gujarat,25/07/2020,620662,54712
Gujarat,26/07/2020,642370,55822
Haryana,03/04/2020,1325,44
Haryana,07/04/2020,2520,141
Haryana,08/04/2020,2650,153
Haryana,09/04/2020,2964,156
Haryana,10/04/2020,3527,162
Haryana,11/04/2020,3663,165
Haryana,12/04/2020,3903,181
Haryana,13/04/2020,4489,182
Haryana,14/04/2020,5210,184
Haryana,15/04/2020,7388,190
Haryana,16/04/2020,8064,214
Haryana,17/04/2020,8884,223
Haryana,18/04/2020,10454,232
Haryana,19/04/2020,12687,250
Haryana,20/04/2020,13894,251
Haryana,21/04/2020,14562,255
Haryana,22/04/2020,15561,264
Haryana,23/04/2020,17582,270
Haryana,24/04/2020,18845,275
Haryana,25/04/2020,20270,287
Haryana,26/04/2020,21467,296
Haryana,27/04/2020,22993,301
Haryana,28/04/2020,24826,308
Haryana,29/04/2020,26148,311
Haryana,30/04/2020,28202,339
Haryana,01/05/2020,30191,357
Haryana,02/05/2020,31200,369
Haryana,03/05/2020,35278,442
Haryana,04/05/2020,38183,517
Haryana,05/05/2020,40982,548
Haryana,06/05/2020,43279,594
Haryana,07/05/2020,46495,625
Haryana,08/05/2020,49746,647
Haryana,09/05/2020,53282,675
Haryana,10/05/2020,56983,703
Haryana,11/05/2020,59735,730
Haryana,12/05/2020,62377,780
Haryana,13/05/2020,65785,793
Haryana,14/05/2020,69191,818
Haryana,15/05/2020,72326,854
Haryana,16/05/2020,75097,887
Haryana,17/05/2020,78029,910
Haryana,18/05/2020,80698,928
Haryana,19/05/2020,82544,964
Haryana,20/05/2020,83944,970
Haryana,21/05/2020,88138,1031
Haryana,22/05/2020,91119,1067
Haryana,23/05/2020,94035,1131
Haryana,24/05/2020,97006,1184
Haryana,25/05/2020,99987,1213
Haryana,26/05/2020,102018,1305
Haryana,27/05/2020,104747,1381
Haryana,28/05/2020,108031,1504
Haryana,29/05/2020,110940,1721
Haryana,30/05/2020,114683,1923
Haryana,31/05/2020,118138,2091
Haryana,01/06/2020,121779,2356
Haryana,02/06/2020,124564,2652
Haryana,03/06/2020,127895,2954
Haryana,04/06/2020,132575,3281
Haryana,05/06/2020,137452,3597
Haryana,06/06/2020,141688,3952
Haryana,07/06/2020,145722,4448
Haryana,08/06/2020,150220,4854
Haryana,09/06/2020,153692,5209
Haryana,10/06/2020,158470,5438
Haryana,11/06/2020,162967,5968
Haryana,12/06/2020,167501,6334
Haryana,13/06/2020,171560,6749
Haryana,14/06/2020,185722,7208
Haryana,15/06/2020,189914,7722
Haryana,16/06/2020,193421,8272
Haryana,17/06/2020,197703,8832
Haryana,18/06/2020,202808,9218
Haryana,19/06/2020,207675,9743
Haryana,20/06/2020,212430,10223
Haryana,21/06/2020,217797,10635
Haryana,22/06/2020,222948,11025
Haryana,23/06/2020,226951,11520
Haryana,24/06/2020,231673,12010
Haryana,25/06/2020,236898,12463
Haryana,26/06/2020,241941,12884
Haryana,27/06/2020,247139,13427
Haryana,28/06/2020,252356,13829
Haryana,29/06/2020,260341,14210
Haryana,30/06/2020,264203,14548
Haryana,01/07/2020,269726,14941
Haryana,02/07/2020,277031,15509
Haryana,03/07/2020,288478,16003
Haryana,04/07/2020,298094,16548
Haryana,05/07/2020,307159,17005
Haryana,06/07/2020,315853,17504
Haryana,07/07/2020,323491,17999
Haryana,08/07/2020,332504,18690
Haryana,09/07/2020,342404,19369
Haryana,10/07/2020,352343,19934
Haryana,11/07/2020,363428,20582
Haryana,12/07/2020,372621,21240
Haryana,13/07/2020,381420,21929
Haryana,14/07/2020,388760,22628
Haryana,15/07/2020,400155,23306
Haryana,16/07/2020,409852,24002
Haryana,17/07/2020,424692,24797
Haryana,18/07/2020,436535,25547
Haryana,19/07/2020,447345,26164
Haryana,20/07/2020,457310,26858
Haryana,21/07/2020,467740,27462
Haryana,22/07/2020,477412,28186
Haryana,23/07/2020,490414,28975
Haryana,24/07/2020,505220,29755
Haryana,25/07/2020,536323,30538
Haryana,26/07/2020,549463,31332
Himachal Pradesh,10/04/2020,900,30
Himachal Pradesh,11/04/2020,900,30
Himachal Pradesh,12/04/2020,1113,32
Himachal Pradesh,13/04/2020,1210,32
Himachal Pradesh,14/04/2020,1311,32
Himachal Pradesh,15/04/2020,1426,35
Himachal Pradesh,16/04/2020,1604,35
Himachal Pradesh,17/04/2020,1992,36
Himachal Pradesh,18/04/2020,2207,39
Himachal Pradesh,19/04/2020,2553,39
Himachal Pradesh,20/04/2020,2892,39
Himachal Pradesh,21/04/2020,3341,39
Himachal Pradesh,22/04/2020,3700,39
Himachal Pradesh,23/04/2020,4020,40
Himachal Pradesh,24/04/2020,4328,40
Himachal Pradesh,25/04/2020,4623,40
Himachal Pradesh,26/04/2020,4901,40
Himachal Pradesh,27/04/2020,5106,40
Himachal Pradesh,28/04/2020,5391,40
Himachal Pradesh,29/04/2020,5772,40
Himachal Pradesh,30/04/2020,6133,40
Himachal Pradesh,01/05/2020,6472,40
Himachal Pradesh,02/05/2020,6836,40
Himachal Pradesh,03/05/2020,7185,40
Himachal Pradesh,04/05/2020,7430,41
Himachal Pradesh,05/05/2020,7893,42
Himachal Pradesh,06/05/2020,8491,43
Himachal Pradesh,07/05/2020,9005,46
Himachal Pradesh,08/05/2020,9522,50
Himachal Pradesh,09/05/2020,10208,52
Himachal Pradesh,10/05/2020,10791,55
Himachal Pradesh,11/05/2020,11267,59
Himachal Pradesh,12/05/2020,12224,66
Himachal Pradesh,13/05/2020,13190,67
Himachal Pradesh,14/05/2020,14256,70
Himachal Pradesh,15/05/2020,15557,76
Himachal Pradesh,16/05/2020,16534,78
Himachal Pradesh,17/05/2020,17417,80
Himachal Pradesh,18/05/2020,18224,90
Himachal Pradesh,19/05/2020,19645,92
Himachal Pradesh,20/05/2020,21147,110
Himachal Pradesh,21/05/2020,22641,152
Himachal Pradesh,22/05/2020,24246,168
Himachal Pradesh,23/05/2020,25905,185
Himachal Pradesh,24/05/2020,27288,203
Himachal Pradesh,25/05/2020,28346,223
Himachal Pradesh,26/05/2020,29379,247
Himachal Pradesh,27/05/2020,30852,273
Himachal Pradesh,28/05/2020,32449,281
Himachal Pradesh,29/05/2020,33979,295
Himachal Pradesh,30/05/2020,35668,313
Himachal Pradesh,31/05/2020,37168,331
Himachal Pradesh,01/06/2020,37897,340
Himachal Pradesh,02/06/2020,39620,345
Himachal Pradesh,03/06/2020,41351,359
Himachal Pradesh,04/06/2020,42703,383
Himachal Pradesh,05/06/2020,43688,393
Himachal Pradesh,06/06/2020,44509,400
Himachal Pradesh,07/06/2020,45888,411
Himachal Pradesh,08/06/2020,46416,421
Himachal Pradesh,09/06/2020,47655,437
Himachal Pradesh,10/06/2020,48922,451
Himachal Pradesh,11/06/2020,50222,470
Himachal Pradesh,12/06/2020,51420,486
Himachal Pradesh,13/06/2020,52737,493
Himachal Pradesh,14/06/2020,53946,518
Himachal Pradesh,15/06/2020,54484,556
Himachal Pradesh,16/06/2020,56106,560
Himachal Pradesh,17/06/2020,57479,585
Himachal Pradesh,18/06/2020,59214,595
Himachal Pradesh,19/06/2020,60814,627
Himachal Pradesh,20/06/2020,62580,656
Himachal Pradesh,21/06/2020,64338,673
Himachal Pradesh,22/06/2020,65189,727
Himachal Pradesh,23/06/2020,67020,775
Himachal Pradesh,24/06/2020,68899,806
Himachal Pradesh,25/06/2020,71078,839
Himachal Pradesh,26/06/2020,72688,864
Himachal Pradesh,27/06/2020,74764,894
Himachal Pradesh,28/06/2020,76556,916
Himachal Pradesh,29/06/2020,77384,942
Himachal Pradesh,30/06/2020,79499,953
Himachal Pradesh,01/07/2020,81516,979
Himachal Pradesh,02/07/2020,83553,1014
Himachal Pradesh,03/07/2020,85116,1033
Himachal Pradesh,04/07/2020,87019,1046
Himachal Pradesh,05/07/2020,88459,1063
Himachal Pradesh,06/07/2020,89305,1077
Himachal Pradesh,07/07/2020,91175,1083
Himachal Pradesh,08/07/2020,93018,1101
Himachal Pradesh,09/07/2020,94720,1140
Himachal Pradesh,10/07/2020,96268,1171
Himachal Pradesh,11/07/2020,98367,1182
Himachal Pradesh,12/07/2020,100315,1213
Himachal Pradesh,13/07/2020,101200,1243
Himachal Pradesh,14/07/2020,103521,1309
Himachal Pradesh,15/07/2020,105734,1341
Himachal Pradesh,16/07/2020,108157,1377
Himachal Pradesh,17/07/2020,110585,1417
Himachal Pradesh,18/07/2020,113129,1457
Himachal Pradesh,19/07/2020,115298,1521
Himachal Pradesh,20/07/2020,116795,1631
Himachal Pradesh,21/07/2020,119220,1664
Himachal Pradesh,22/07/2020,121688,1725
Himachal Pradesh,23/07/2020,124683,1834
Himachal Pradesh,24/07/2020,127555,1954
Himachal Pradesh,25/07/2020,130253,2049
Himachal Pradesh,26/07/2020,132703,2176
Jammu and Kashmir,05/04/2020,1551,106
Jammu and Kashmir,10/04/2020,2961,207
Jammu and Kashmir,11/04/2020,3206,224
Jammu and Kashmir,12/04/2020,3600,245
Jammu and Kashmir,13/04/2020,4065,270
Jammu and Kashmir,14/04/2020,4619,278
Jammu and Kashmir,15/04/2020,5171,300
Jammu and Kashmir,16/04/2020,5680,314
Jammu and Kashmir,17/04/2020,6438,328
Jammu and Kashmir,18/04/2020,6937,341
Jammu and Kashmir,19/04/2020,7895,350
Jammu and Kashmir,20/04/2020,8612,368
Jammu and Kashmir,21/04/2020,9220,380
Jammu and Kashmir,22/04/2020,10039,407
Jammu and Kashmir,23/04/2020,10977,427
Jammu and Kashmir,24/04/2020,11764,454
Jammu and Kashmir,25/04/2020,12835,494
Jammu and Kashmir,26/04/2020,13959,523
Jammu and Kashmir,27/04/2020,14988,546
Jammu and Kashmir,28/04/2020,16619,565
Jammu and Kashmir,29/04/2020,18450,581
Jammu and Kashmir,30/04/2020,19746,614
Jammu and Kashmir,01/05/2020,21695,639
Jammu and Kashmir,02/05/2020,23406,666
Jammu and Kashmir,03/05/2020,26038,701
Jammu and Kashmir,04/05/2020,28199,726
